phrase,quote,reason
improvement and still,that is an improvement and still ,technical_term
favorite,this is my favorite.,not_role_like
great mounting bracket,this is a great mounting bracket ,not_role_like
new favorite,this is my new favorite.,not_role_like
best convenience item,alexa is the best convenience item ,not_role_like
best thing that,echo dot is the best thing that ,literal_function
programming issue or,it is a programming issue or ,non_role_pattern
poorly refurbished device,it is a poorly refurbished device.,technical_term
first amazon echo,this is my first amazon echo ,tautology
very good set,this is a very good set ,not_role_like
very good bundle,this is a very good bundle ,not_role_like
little bit in,it was a little bit in ,not_role_like
second echo dot,this is my second echo dot ,tautology
bomb,echo dot is the bomb.,not_role_like
one,this is the one to buy.,not_role_like
best choice,it is the best choice.,technical_term
second generation dot,"echo dot, the second generation dot,",tautology
best sounding echo,it is the best sounding echo ,tautology
large plug so,it is a large plug so ,not_role_like
gift,this was a gift.,technical_term
lot,echo dot is a lot of fun.,abstract_non_role
really smart girlfriend,like having a really smart girlfriend ,not_role_like
first experience with,this was my first experience with ,not_role_like
new favorite,this is my new favorite ,not_role_like
tiny speaker,it is a tiny speaker.,technical_term
choice,this is the choice.,technical_term
clock and dot,like having a clock and dot ,tautology
great deal and,it was a great deal and ,technical_term
bit larger than,it is a bit larger than ,non_role_pattern
perfect complement,echo dot is a perfect complement to ,non_role_pattern
snug fit,it was a snug fit to ,technical_term
sweet little speaker,this is a sweet little speaker.,technical_term
snap,it was a snap to connect ,not_role_like
huge upgrade for,this was a huge upgrade for ,technical_term
perfect holder,this is the perfect holder to ,non_role_pattern
great extension and,echo dot is a great extension and ,not_role_like
wonder,echo dot is a wonder!,abstract_non_role
amazing extension,this is an amazing extension of ,not_role_like
logical choice,this was a logical choice.,technical_term
perfect choice,it was the perfect choice.,technical_term
birthday gift and,echo dot was a birthday gift and ,technical_term
device that i,this was a device that i ,technical_term
absolute gem,alexa is an absolute gem.,not_role_like
upgrade from an,this is an upgrade from an ,technical_term
great,this is a great ,standalone_adjective
great little,echo dot is a great little tool ,not_role_like
simple little things,it is the simple little things ,not_role_like
very versatile device,echo dot is a very versatile device ,technical_term
option,that was an option.,technical_term
third product,this is my third product of ,technical_term
second echo dot,this is our second echo dot ,tautology
essential device for,has become an essential device for ,technical_term
new favorite electronic, become my new favorite electronic ,not_role_like
echo issue or,this is an echo issue or ,tautology
decent inexpensive bluetooth,this is a decent inexpensive bluetooth ,literal_function
improvement over the,this is an improvement over the ,technical_term
one that responded,that was the one that responded.,not_role_like
pretty big room,it is a pretty big room ,not_role_like
far lesser device,echo dot is a far lesser device.,technical_term
ongoing issue with,this is an ongoing issue with ,not_role_like
defective unit and,it was a defective unit and ,not_role_like
lot,it is a lot ,abstract_non_role
oversight,this is an oversight in the ,not_role_like
silly idea and,it was a silly idea and ,not_role_like
little,it is a little too small ,standalone_adjective
perfect pairing,this is the perfect pairing!,not_role_like
great addition,this is a great addition to ,technical_term
handy device for,this is a handy device for ,technical_term
perfect cord,this is the perfect cord to ,not_role_like
ideal alexa enabled,echo dot is the ideal alexa enabled ,tautology
worthwhile upgrade before,this is a worthwhile upgrade before ,technical_term
newest addition,this is the newest addition to ,technical_term
echo,it is a  echo ,tautology
first thing from,this is the first thing from ,not_role_like
little over priced,it is a little over priced ,not_role_like
great way,this was a great way to ,not_role_like
second,this is my second ,ordinal_number
decent device with,echo dot is a decent device with ,technical_term
echo dot on,it is basically an echo dot on ,tautology
third echo dot,this is the third echo dot ,tautology
must have in,echo dot is a must have in ,not_role_like
best purchase in,it was my best purchase in ,technical_term
analog vs digital,it was an analog vs digital ,not_role_like
perfectly fine,this was a perfectly fine ,not_role_like
great price and,it was a great price and ,not_role_like
second order because,this is my second order because ,not_role_like
deciding factor for,that was the deciding factor for ,incomplete_phrase_for
second echo dot,this is our second echo dot ,tautology
perfect solution,this was the perfect solution.,not_role_like
best alexa is,echo dot is the best alexa is ,tautology
second purchase,this is my second purchase of ,technical_term
great purchase,it was a great purchase.,technical_term
great purchase for,this was a great purchase for ,technical_term
wonderful product and,this is a wonderful product and ,technical_term
great audio enhancement,this is a great audio enhancement ,technical_term
great idea as,this is a great idea as ,not_role_like
best,alexa is the best.,standalone_adjective
great little,echo dot is a great little tool ,not_role_like
wyze cloud lag,that is the wyze cloud lag ,not_role_like
echo dot with,it is an echo dot with ,tautology
perfect addition,it is a perfect addition to ,technical_term
second one,this is my second one ,not_role_like
lifeline,alexa is my lifeline.,not_role_like
great help,echo dot is a great help.,not_role_like
first time having,this is our first time having ,not_role_like
first smart,echo dot is my first smart ,not_role_like
big help,alexa is a big help.,not_role_like
exceptional speaker with,this is an exceptional speaker with ,technical_term
happy win for,it is a happy win for ,incomplete_phrase_for
christmas present for,this was a christmas present for ,technical_term
incredible little device,it is an incredible little device ,technical_term
great way,echo dot is a great way to ,not_role_like
pretty,this is a pretty ,standalone_adjective
definite buy for,echo dot is a definite buy for ,technical_term
amazing deal,this is an amazing deal.,technical_term
first echo dot,this is my first echo dot ,tautology
work space,it is my work space.,not_role_like
huge downgrade from,this is a huge downgrade from ,technical_term
pain,it is a pain to use ,not_role_like
second alexa,this is my second alexa ,tautology
tight fit in,it was a tight fit in ,technical_term
extra set,like having an extra set of ,not_role_like
introduction,echo dot is my introduction to the ,not_role_like
great investment,echo dot is a great investment!,product_description
simple alarm clock,it is a simple alarm clock ,technical_term
cube,it is a cube.,not_role_like
match made in,this is a match made in ,technical_term
perfect addition in,this is the perfect addition in ,technical_term
best thing since,it was the best thing since ,not_role_like
advise,that is my advise.,not_role_like
second echo,this is my second echo ,tautology
handy set up,it is a handy set up.,not_role_like
great device and,this is a great device and ,technical_term
great deal it,this is a great deal it ,technical_term
wonderful addition,she is a wonderful addition to ,technical_term
lot more bet,this is a lot more bet,not_role_like
second echo dot,this is my second echo dot.,tautology
nice size and,echo dot is a nice size and ,not_role_like
best technology next,this is the best technology next ,not_role_like
wise purchase,it was a wise purchase!,technical_term
good value and,it was a good value and ,not_role_like
gift and i,echo dot was a gift and i ,technical_term
only way,this is the only way to ,not_role_like
very useful, become a very useful tool ,not_role_like
integral part,have become an integral part of ,not_role_like
second echo dot,this is my second echo dot.,tautology
very nice accessory,this is a very nice accessory ,technical_term
very expensive light,it is a very expensive light ,not_role_like
very practical purchase,this was a very practical purchase ,technical_term
favorite feature because,this is my favorite feature because ,not_role_like
waste,this was a waste of money.,abstract_non_role
must have product,this is a must have product ,technical_term
second echo dot,this is my second echo dot.,tautology
great addition,echo dot is a great addition to ,technical_term
way,this is the way to ,abstract_non_role
great echo dot,this is a great echo dot ,tautology
perfect fit for,this is a perfect fit for ,technical_term
product defect,it is a product defect.,technical_term
newest discovery i,that is the newest discovery i ,not_role_like
bit,it is a bit ,abstract_non_role
very quiet speaker,this is a very quiet speaker.,technical_term
great alexa device,echo dot is a great alexa device.,tautology
great speaker,it is a great speaker.,technical_term
addition,this is an addition to our ,technical_term
vinyl holder which,this is a vinyl holder which ,not_role_like
length,echo dot is the length of the ,not_role_like
big deal for,this was a big deal for ,technical_term
great addition for,this is a great addition for ,technical_term
great addition,echo dot is a great addition.,technical_term
perfect size,alexa is the perfect size.,not_role_like
great asset,this is a great asset to ,not_role_like
perfect device for,it is the perfect device for ,technical_term
great addition,echo dot is a great addition to ,technical_term
excellent product,echo dot is an excellent product.,technical_term
great stuff and,it is a great stuff and ,not_role_like
first ever alexa,this is my first ever alexa ,tautology
lot,it is a lot of fun ,abstract_non_role
great deal,this was a great deal.,technical_term
awesome product and,it is an awesome product and ,technical_term
best gift for,this is the best gift for ,technical_term
soft light on,it is a soft light on ,not_role_like
only reason,this is the only reason ,not_role_like
great,echo dot is a great tool to ,standalone_adjective
little louder,it was a little louder.,abstract_non_role
great service,alexa is a great service.,not_role_like
second time i,this is the second time i ,not_role_like
great decision since,echo dot was a great decision since ,not_role_like
perfect compliment,echo dot is a perfect compliment to ,non_role_pattern
go,has become my go to for ,abstract_non_role
alarm clock,it is my alarm clock.,technical_term
easy,echo dot was an easy ,standalone_adjective
first echo,this is my first echo ,tautology
first time buying,this is my first time buying ,not_role_like
product you should,this is a product you should ,technical_term
nice case,it is a nice case.,not_role_like
really nice accessory,echo dot is a really nice accessory!,technical_term
best technology purchase,it is the best technology purchase ,technical_term
second echo dot,this is my second echo dot.,tautology
good source,alexa is a good source of ,not_role_like
second echo dot,this is our second echo dot ,tautology
first echo dot,this is my first echo dot ,tautology
great way,echo dot is a great way to ,not_role_like
great gadget,echo dot is a great gadget.,technical_term
amazing voice recognition,echo dot is an amazing voice recognition ,product_description
awesome little product,this is an awesome little product.,technical_term
perfect way,echo dot is the perfect way to ,not_role_like
excellent buy,it was an excellent buy.,technical_term
only way,this is the only way to ,not_role_like
response,that was my response when after ,not_role_like
very cute,alexa is a very cute ,not_role_like
wonderful electronics,she is a wonderful electronics to ,not_role_like
size  you are,this is the size  you are ,not_role_like
perfect mount for,this is a perfect mount for ,incomplete_phrase_for
first time using,this was my first time using ,not_role_like
xmas,this was an xmas ,not_role_like
good asset,she is a good asset to ,not_role_like
very nice,it is a very nice ,not_role_like
little smaller than,it was a little smaller than ,not_role_like
one you want,this is the one you want.,non_role_pattern
